,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
10,ssd1200/stage2_residul_block2/stage2_residul_block2_bn1/FusedBatchNorm:0;ssd1200/stage2_residul_block2/stage2_residul_block2_relu1/stage2_residul_block2_relu1:0,Convolution;ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,180000,3317760000,147456,15,360000,360000,5760000,5760000,1,5760000
11,ssd1200/stage2_residul_block2/stage2_residul_block2_bn2/FusedBatchNorm:0;ssd1200/add_4:0+ssd1200/stage2_residul_block2/stage2_residul_block2_relu2/stage2_residul_block2_relu2:0,Convolution;Eltwise Add+ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,540000,3317760000,147456,16,360000,360000,5760000,5760000,1,5760000
12,ssd1200/stage2_residul_block3/stage2_residul_block3_bn1/FusedBatchNorm:0;ssd1200/stage2_residul_block3/stage2_residul_block3_relu1/stage2_residul_block3_relu1:0,Convolution;ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,180000,3317760000,147456,18,360000,360000,5760000,5760000,1,5760000
13,ssd1200/stage2_residul_block3/stage2_residul_block3_bn2/FusedBatchNorm:0;ssd1200/add_5:0+ssd1200/stage2_residul_block3/stage2_residul_block3_relu2/stage2_residul_block3_relu2:0,Convolution;Eltwise Add+ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,540000,3317760000,147456,19,360000,360000,5760000,5760000,1,5760000
14,ssd1200/stage2_residul_block4/stage2_residul_block4_bn1/FusedBatchNorm:0;ssd1200/stage2_residul_block4/stage2_residul_block4_relu1/stage2_residul_block4_relu1:0,Convolution;ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,180000,3317760000,147456,21,360000,360000,5760000,5760000,1,5760000
15,ssd1200/stage2_residul_block4/stage2_residul_block4_bn2/FusedBatchNorm:0;ssd1200/add_6:0+ssd1200/stage2_residul_block4/stage2_residul_block4_relu2/stage2_residul_block4_relu2:0,Convolution;Eltwise Add+ReLU,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,540000,3317760000,147456,22,360000,360000,5760000,5760000,1,5760000
16,ssd1200/stage3_residul_block1/stage3_residul_block1_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block1/stage3_residul_block1_relu1/stage3_residul_block1_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,128,2880000,3,3,128,256,360000,6635520000,294912,24,360000,720000,11520000,11520000,1,11520000
17,ssd1200/stage3_residul_block1/stage3_residul_block1_bn2/FusedBatchNorm:0,Convolution,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,0,737280000,589824,25,720000,720000,1280000,1280000,1,1280000
18,ssd1200/stage3_downsample/stage3_downsample_bn1/FusedBatchNorm:0;ssd1200/add_7:0+ssd1200/stage3_residul_block1/stage3_residul_block1_relu2/stage3_residul_block1_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,128,2880000,1,1,128,256,1080000,737280000,32768,26,360000,720000,1422222,1422222,1,1422222
19,ssd1200/stage3_residul_block2/stage3_residul_block2_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block2/stage3_residul_block2_relu1/stage3_residul_block2_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,360000,13271040000,589824,28,720000,720000,23040000,23040000,3,7680000
20,ssd1200/stage3_residul_block2/stage3_residul_block2_bn2/FusedBatchNorm:0;ssd1200/add_8:0+ssd1200/stage3_residul_block2/stage3_residul_block2_relu2/stage3_residul_block2_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,1080000,13271040000,589824,29,720000,720000,23040000,23040000,2,11520000
21,ssd1200/stage3_residul_block3/stage3_residul_block3_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block3/stage3_residul_block3_relu1/stage3_residul_block3_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,360000,13271040000,589824,31,720000,720000,23040000,23040000,2,11520000
22,ssd1200/stage3_residul_block3/stage3_residul_block3_bn2/FusedBatchNorm:0;ssd1200/add_9:0+ssd1200/stage3_residul_block3/stage3_residul_block3_relu2/stage3_residul_block3_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,1080000,13271040000,589824,32,720000,720000,23040000,23040000,2,11520000
23,ssd1200/stage3_residul_block4/stage3_residul_block4_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block4/stage3_residul_block4_relu1/stage3_residul_block4_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,360000,13271040000,589824,34,720000,720000,23040000,23040000,2,11520000
24,ssd1200/stage3_residul_block4/stage3_residul_block4_bn2/FusedBatchNorm:0;ssd1200/add_10:0+ssd1200/stage3_residul_block4/stage3_residul_block4_relu2/stage3_residul_block4_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,1080000,13271040000,589824,35,720000,720000,23040000,23040000,2,11520000
25,ssd1200/stage3_residul_block5/stage3_residul_block5_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block5/stage3_residul_block5_relu1/stage3_residul_block5_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,360000,13271040000,589824,37,720000,720000,23040000,23040000,2,11520000
26,ssd1200/stage3_residul_block5/stage3_residul_block5_bn2/FusedBatchNorm:0;ssd1200/add_11:0+ssd1200/stage3_residul_block5/stage3_residul_block5_relu2/stage3_residul_block5_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,1080000,13271040000,589824,38,720000,720000,23040000,23040000,2,11520000
27,ssd1200/stage3_residul_block6/stage3_residul_block6_bn1/FusedBatchNorm:0;ssd1200/stage3_residul_block6/stage3_residul_block6_relu1/stage3_residul_block6_relu1:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,360000,13271040000,589824,40,720000,720000,23040000,23040000,3,7680000
28,ssd1200/stage3_residul_block6/stage3_residul_block6_bn2/FusedBatchNorm:0;ssd1200/add_12:0+ssd1200/stage3_residul_block6/stage3_residul_block6_relu2/stage3_residul_block6_relu2:0,Convolution;Eltwise Add+ReLU,1,150,256,150,5760000,150,150,256,5760000,3,3,256,256,1080000,13271040000,589824,41,720000,720000,23040000,23040000,2,11520000
29,ssd1200/multibox_head/loc_0/BiasAdd:0,Convolution,3,50,16,50,40000,150,150,256,5760000,0,0,0,0,0,0,0,43,720000,5000,0,720000,1,720000
30,ssd1200/multibox_head/cls_0/BiasAdd:0,Convolution,3,50,324,50,810000,150,150,256,5760000,0,0,0,0,0,0,0,44,720000,101250,0,720000,1,720000
31,ssd1200/additional_layers/conv7/conv7_1/BiasAdd:0;ssd1200/additional_layers/conv7/conv7_1/Relu:0,Convolution;ReLU,1,150,256,150,5760000,150,150,256,5760000,0,0,0,0,360000,0,0,45,720000,720000,0,720000,1,720000
32,ssd1200/additional_layers/conv7/conv7_2/BiasAdd:0;ssd1200/additional_layers/conv7/conv7_2/Relu:0,Convolution;ReLU,2,75,512,75,2880000,150,150,256,5760000,0,0,0,0,180000,0,0,46,720000,360000,0,720000,1,720000
33,ssd1200/multibox_head/loc_1/BiasAdd:0,Convolution,3,25,24,25,15000,75,75,512,2880000,0,0,0,0,0,0,0,47,360000,1875,0,360000,1,360000
34,ssd1200/multibox_head/cls_1/BiasAdd:0,Convolution,3,25,486,25,303750,75,75,512,2880000,0,0,0,0,0,0,0,48,360000,37968,0,360000,1,360000
35,ssd1200/additional_layers/conv8/conv8_1/BiasAdd:0;ssd1200/additional_layers/conv8/conv8_1/Relu:0,Convolution;ReLU,1,75,256,75,1440000,75,75,512,2880000,0,0,0,0,90000,0,0,49,360000,180000,0,360000,1,360000
36,ssd1200/additional_layers/conv8/conv8_2/BiasAdd:0;ssd1200/additional_layers/conv8/conv8_2/Relu:0,Convolution;ReLU,2,38,512,38,739328,75,75,256,1440000,0,0,0,0,46208,0,0,50,180000,92416,0,180000,1,180000
37,ssd1200/multibox_head/loc_2/BiasAdd:0,Convolution,3,13,24,13,4056,38,38,512,739328,0,0,0,0,0,0,0,51,92416,507,0,92416,1,92416
38,ssd1200/multibox_head/cls_2/BiasAdd:0,Convolution,3,13,486,13,82134,38,38,512,739328,0,0,0,0,0,0,0,52,92416,10266,0,92416,1,92416
39,ssd1200/additional_layers/conv9/conv9_1/BiasAdd:0;ssd1200/additional_layers/conv9/conv9_1/Relu:0,Convolution;ReLU,1,38,128,38,184832,38,38,512,739328,0,0,0,0,11552,0,0,53,92416,23104,0,92416,1,92416
40,ssd1200/additional_layers/conv9/conv9_2/BiasAdd:0;ssd1200/additional_layers/conv9/conv9_2/Relu:0,Convolution;ReLU,2,19,256,19,92416,38,38,128,184832,0,0,0,0,5776,0,0,54,23104,11552,0,23104,1,23104
41,ssd1200/multibox_head/loc_3/BiasAdd:0,Convolution,3,7,24,7,1176,19,19,256,92416,0,0,0,0,0,0,0,55,11552,147,0,11552,1,11552
42,ssd1200/multibox_head/cls_3/BiasAdd:0,Convolution,3,7,486,7,23814,19,19,256,92416,0,0,0,0,0,0,0,56,11552,2976,0,11552,1,11552
43,ssd1200/additional_layers/conv10/conv10_1/BiasAdd:0;ssd1200/additional_layers/conv10/conv10_1/Relu:0,Convolution;ReLU,1,19,128,19,46208,19,19,256,92416,0,0,0,0,2888,0,0,57,11552,5776,0,11552,1,11552
44,ssd1200/additional_layers/conv10/conv10_2/BiasAdd:0;ssd1200/additional_layers/conv10/conv10_2/Relu:0,Convolution;ReLU,2,9,256,9,20736,19,19,128,46208,0,0,0,0,1296,0,0,58,5776,2592,0,5776,1,5776
45,ssd1200/multibox_head/loc_4/BiasAdd:0,Convolution,3,3,16,3,144,9,9,256,20736,0,0,0,0,0,0,0,59,2592,18,0,2592,1,2592
46,ssd1200/multibox_head/cls_4/BiasAdd:0,Convolution,3,3,324,3,2916,9,9,256,20736,0,0,0,0,0,0,0,60,2592,364,0,2592,1,2592
47,ssd1200/additional_layers/conv11/conv11_1/BiasAdd:0;ssd1200/additional_layers/conv11/conv11_1/Relu:0,Convolution;ReLU,1,9,128,9,10368,9,9,256,20736,0,0,0,0,648,0,0,61,2592,1296,0,2592,1,2592
48,ssd1200/additional_layers/conv11/conv11_2/BiasAdd:0;ssd1200/additional_layers/conv11/conv11_2/Relu:0,Convolution;ReLU,1,7,256,7,12544,9,9,128,10368,0,0,0,0,784,0,0,62,1296,1568,0,1568,1,1568
49,ssd1200/multibox_head/loc_5/BiasAdd:0,Convolution,3,3,16,3,144,7,7,256,12544,0,0,0,0,0,0,0,63,1568,18,0,1568,1,1568
50,ssd1200/multibox_head/cls_5/BiasAdd:0;ssd1200/concat_1:0+ssd1200/concat:0,Convolution;Concat+Concat,3,0,0,0,0,7,7,256,12544,0,0,0,0,0,0,0,64,1568,0,0,1568,1,1568

INPUTS
Filename: csvs/resnet34ssd.csv
Number of Tiles: 64
MAC Bandwidth: 576
Vector Width: 128
NOC Bandwidth: 8

OUTPUTS
Total MACS: 1.860e+11
Mac Cycles: 3.291e+08
Mac Util: 44%
Total Cycles: 3.340e+08
Total Stage Cycles: 5.218e+06
IPS/Chip: 86.0
